Date,Symbol,Side,EntryPrice,SLPrice,Qty,PnL,GapPct,OpenBias,ExitReason,Duration
2026-01-16,ADANIENT,BUY,2175.00,2163.30,15,83.40,0.50,NEUTRAL,STAGE1_0.5R+STAGE2_1R+STOPLOSS,205min
2026-01-16,TATACONSUM,BUY,1185.90,1179.16,28,254.27,0.20,NEUTRAL,STAGE1_0.5R+STAGE2_1R+STOPLOSS,55min
2026-01-19,HEROMOTOCO,BUY,5713.00,5674.23,5,249.96,-0.09,NEUTRAL,STAGE1_0.5R+STAGE2_1R+STOPLOSS,325min
2026-01-19,MARUTI,BUY,15991.00,15942.58,2,162.00,-0.11,NEUTRAL,STAGE1_0.5R+STAGE2_1R,30min
2026-01-20,DRREDDY,SELL,1161.60,1166.40,29,-139.20,-0.13,NEUTRAL,STOPLOSS,20min
2026-01-20,ICICIBANK,BUY,1383.90,1378.97,24,-118.40,-0.22,NEUTRAL,STOPLOSS,260min
2026-01-22,TATACONSUM,BUY,1177.10,1170.76,28,81.60,0.20,LONG,STAGE1_0.5R+STAGE2_1R+STOPLOSS,125min
2026-01-22,TECHM,BUY,1709.90,1706.95,19,-55.98,0.64,LONG,STOPLOSS,10min
2026-01-23,TATACONSUM,BUY,1186.70,1181.61,28,-142.55,0.30,NEUTRAL,STOPLOSS,40min
2026-01-23,TECHM,BUY,1704.20,1697.70,19,-123.50,0.24,NEUTRAL,STOPLOSS,25min
2026-01-29,HDFCBANK,SELL,926.00,928.37,36,-85.48,-0.25,NEUTRAL,STOPLOSS,25min
2026-01-30,ITC,BUY,317.80,314.74,106,-324.09,0.00,NEUTRAL,STOPLOSS,65min
2026-01-30,TATACONSUM,BUY,1121.00,1111.70,30,325.40,0.19,NEUTRAL,STAGE1_0.5R+STAGE2_1R+STOPLOSS,200min
2026-02-04,TATACONSUM,BUY,1162.90,1157.04,29,81.60,-0.12,NEUTRAL,STAGE1_0.5R+STAGE2_1R+STOPLOSS,185min
2026-02-05,DRREDDY,BUY,1249.00,1243.35,27,-152.44,0.18,NEUTRAL,STOPLOSS,50min
2026-02-05,ITC,SELL,312.30,312.98,108,138.60,0.03,NEUTRAL,STAGE1_0.5R+STAGE2_1R+STAGE3_2R,30min
